"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Conjunctival oedema","Iohexol","Conjunctival oedema","结膜水肿","Eye disorders","眼器官疾病","6","6","6437","973","19899063","6443","979","19906479","19.06","8.54","42.55","19.05","101.97","4.24","3.42","0.3169","7.96","3.4","1","1","1","1","1","1","19.06 (8.54, 42.55)"
"Injection site oedema","Iohexol","Injection site oedema","注射部位水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","10","10","6433","1629","19898407","6443","1639","19906479","18.99","10.19","35.37","18.96","169.11","4.24","3.6","0.5305","10.19","4.88","1","1","1","1","1","1","18.99 (10.19, 35.37)"
"Compartment syndrome","Iohexol","Compartment syndrome","骨筋膜室综合征","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","15","15","6428","2500","19897536","6443","2515","19906479","18.57","11.17","30.87","18.53","247.33","4.2","3.69","0.814","11.8","6.03","1","1","1","1","1","1","18.57 (11.17, 30.87)"
"Papule","Iohexol","Papule","丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","38","38","6405","6474","19893562","6443","6512","19906479","18.23","13.24","25.1","18.13","611.61","4.17","3.85","2.1077","14.76","8.23","1","1","1","1","1","1","18.23 (13.24, 25.10)"
"Pulse absent","Iohexol","Pulse absent","脉搏消失","Investigations","各类检查","27","27","6416","4595","19895441","6443","4622","19906479","18.22","12.47","26.62","18.15","435.05","4.17","3.79","1.496","13.78","7.49","1","1","1","1","1","1","18.22 (12.47, 26.62)"
"Throat irritation","Iohexol","Throat irritation","咽喉刺激","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","238","238","6205","41926","19858110","6443","42164","19906479","18.17","15.96","20.69","17.53","3697.34","4.12","3.99","13.6469","16.86","9.91","1","1","1","1","1","1","18.17 (15.96, 20.69)"
"Sensation of foreign body","Iohexol","Sensation of foreign body","异物感","General disorders and administration site conditions","全身性疾病及给药部位各种反应","44","44","6399","7760","19892276","6443","7804","19906479","17.63","13.09","23.73","17.51","681.48","4.12","3.82","2.5259","14.71","8.26","1","1","1","1","1","1","17.63 (13.09, 23.73)"
"Pharyngeal paraesthesia","Iohexol","Pharyngeal paraesthesia","咽异常感觉","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","8","8","6435","1417","19898619","6443","1425","19906479","17.46","8.71","34.99","17.44","123.27","4.12","3.41","0.4612","8.84","4.05","1","1","1","1","1","1","17.46 (8.71, 34.99)"
"Hypoxic-ischaemic encephalopathy","Iohexol","Hypoxic-ischaemic encephalopathy","缺氧缺血性脑病","Nervous system disorders","各类神经系统疾病","13","13","6430","2476","19897560","6443","2489","19906479","16.25","9.42","28.04","16.22","184.67","4.01","3.46","0.8056","10.34","5.18","1","1","1","1","1","1","16.25 (9.42, 28.04)"
"Eyelid oedema","Iohexol","Eyelid oedema","眼睑水肿","Eye disorders","眼器官疾病","59","59","6384","11321","19888715","6443","11380","19906479","16.24","12.56","20.99","16.1","831.51","4","3.74","3.6833","14.22","8.1","1","1","1","1","1","1","16.24 (12.56, 20.99)"
"Lip pruritus","Iohexol","Lip pruritus","口唇瘙痒","Gastrointestinal disorders","胃肠系统疾病","4","4","6439","768","19899268","6443","772","19906479","16.1","6.02","43.01","16.09","56.3","4","3","0.2499","6","2.27","1","1","1","1","1","1","16.10 (6.02, 43.01)"
"Cyanosis","Iohexol","Cyanosis","发绀","Vascular disorders","血管与淋巴管类疾病","77","77","6366","15070","19884966","6443","15147","19906479","15.96","12.74","19.99","15.78","1061.43","3.97","3.74","4.9025","14.35","8.25","1","1","1","1","1","1","15.96 (12.74, 19.99)"
"Documented hypersensitivity to administered product","Iohexol","Documented hypersensitivity to administered product","（患者）对所给产品有记录在案的超敏性","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","4","4","6439","779","19899257","6443","783","19906479","15.87","5.94","42.4","15.86","55.41","3.98","2.98","0.2534","5.97","2.26","1","1","1","1","1","1","15.87 (5.94, 42.40)"
"Conjunctival hyperaemia","Iohexol","Conjunctival hyperaemia","结膜充血","Eye disorders","眼器官疾病","17","17","6426","3394","19896642","6443","3411","19906479","15.51","9.62","24.99","15.47","228.99","3.94","3.46","1.104","10.91","5.66","1","1","1","1","1","1","15.51 (9.62, 24.99)"
"PARAESTHESIA ORAL","Iohexol","PARAESTHESIA ORAL","口部异常感觉","Gastrointestinal disorders","胃肠系统疾病","67","67","6376","13520","19886516","6443","13587","19906479","15.46","12.14","19.67","15.31","892.08","3.93","3.68","4.3976","13.78","7.89","1","1","1","1","1","1","15.46 (12.14, 19.67)"
"Oedema mucosal","Iohexol","Oedema mucosal","黏膜水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","5","5","6438","1015","19899021","6443","1020","19906479","15.23","6.32","36.67","15.21","66.08","3.92","3.02","0.3301","6.63","2.69","1","1","1","1","1","1","15.23 (6.32, 36.67)"
"ANAPHYLACTIC REACTION","Iohexol","ANAPHYLACTIC REACTION","速发严重过敏反应","Immune system disorders","免疫系统疾病","241","241","6202","51170","19848866","6443","51411","19906479","15.07","13.25","17.15","14.55","3033.93","3.86","3.72","16.6399","14.09","8.29","1","1","1","1","1","1","15.07 (13.25, 17.15)"
"Pharyngeal swelling","Iohexol","Pharyngeal swelling","咽部肿胀","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","42","42","6401","8772","19891264","6443","8814","19906479","14.88","10.98","20.17","14.79","537.61","3.88","3.57","2.8528","12.68","7.11","1","1","1","1","1","1","14.88 (10.98, 20.17)"
"Hyporesponsive to stimuli","Iohexol","Hyporesponsive to stimuli","对刺激物低反应","Nervous system disorders","各类神经系统疾病","5","5","6438","1046","19898990","6443","1051","19906479","14.77","6.13","35.58","14.76","63.86","3.88","2.98","0.3402","6.55","2.66","1","1","1","1","1","1","14.77 (6.13, 35.58)"
"Moaning","Iohexol","Moaning","呻吟","General disorders and administration site conditions","全身性疾病及给药部位各种反应","5","5","6438","1071","19898965","6443","1076","19906479","14.43","5.99","34.75","14.42","62.16","3.84","2.95","0.3483","6.48","2.63","1","1","1","1","1","1","14.43 (5.99, 34.75)"
"Nephropathy toxic","Iohexol","Nephropathy toxic","中毒性肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","48","48","6395","10356","19889680","6443","10404","19906479","14.42","10.85","19.16","14.32","592.08","3.83","3.54","3.3674","12.54","7.08","1","1","1","1","1","1","14.42 (10.85, 19.16)"
"Tachypnoea","Iohexol","Tachypnoea","呼吸急促","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","59","59","6384","12784","19887252","6443","12843","19906479","14.38","11.12","18.59","14.25","724.28","3.83","3.56","4.1568","12.78","7.28","1","1","1","1","1","1","14.38 (11.12, 18.59)"
"INDURATION","Iohexol","INDURATION","硬结","General disorders and administration site conditions","全身性疾病及给药部位各种反应","8","8","6435","1723","19898313","6443","1731","19906479","14.36","7.17","28.77","14.34","98.83","3.84","3.13","0.5603","8.02","3.67","1","1","1","1","1","1","14.36 (7.17, 28.77)"
"Livedo reticularis","Iohexol","Livedo reticularis","网状青斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","9","9","6434","1973","19898063","6443","1982","19906479","14.11","7.33","27.17","14.09","108.95","3.81","3.14","0.6415","8.32","3.91","1","1","1","1","1","1","14.11 (7.33, 27.17)"
"Skin test positive","Iohexol","Skin test positive","皮肤试验阳性","Investigations","各类检查","4","4","6439","881","19899155","6443","885","19906479","14.03","5.25","37.48","14.02","48.16","3.8","2.8","0.2864","5.72","2.16","1","1","1","1","1","1","14.03 (5.25, 37.48)"
"Venous injury","Iohexol","Venous injury","静脉损伤","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","4","4","6439","888","19899148","6443","892","19906479","13.92","5.21","37.18","13.91","47.73","3.79","2.79","0.2887","5.71","2.16","1","1","1","1","1","1","13.92 (5.21, 37.18)"
"Amaurosis fugax","Iohexol","Amaurosis fugax","一过性黑朦","Eye disorders","眼器官疾病","4","4","6439","917","19899119","6443","921","19906479","13.48","5.05","36.01","13.47","45.99","3.75","2.74","0.2981","5.64","2.13","1","1","1","1","1","1","13.48 (5.05, 36.01)"
"Gaze palsy","Iohexol","Gaze palsy","凝视麻痹","Eye disorders","眼器官疾病","7","7","6436","1613","19898423","6443","1620","19906479","13.42","6.38","28.2","13.4","80.01","3.74","2.98","0.5243","7.32","3.26","1","1","1","1","1","1","13.42 (6.38, 28.20)"
"Lip discolouration","Iohexol","Lip discolouration","唇变色","Gastrointestinal disorders","胃肠系统疾病","5","5","6438","1189","19898847","6443","1194","19906479","13","5.4","31.3","12.99","55.1","3.69","2.8","0.3865","6.2","2.52","1","1","1","1","1","1","13.00 (5.40, 31.30)"
"Hyperpyrexia","Iohexol","Hyperpyrexia","高热","General disorders and administration site conditions","全身性疾病及给药部位各种反应","16","16","6427","3835","19896201","6443","3851","19906479","12.92","7.9","21.12","12.89","174.72","3.68","3.18","1.2464","9.45","4.87","1","1","1","1","1","1","12.92 (7.90, 21.12)"
"Pharyngeal oedema","Iohexol","Pharyngeal oedema","咽部水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","58","58","6385","15184","19884852","6443","15242","19906479","11.9","9.18","15.41","11.8","571.46","3.56","3.29","4.9333","10.77","6.13","1","1","1","1","1","1","11.90 (9.18, 15.41)"
"Hyperaemia","Iohexol","Hyperaemia","充血","Vascular disorders","血管与淋巴管类疾病","7","7","6436","1868","19898168","6443","1875","19906479","11.59","5.51","24.35","11.57","67.38","3.53","2.77","0.6069","6.78","3.01","1","1","1","1","1","1","11.59 (5.51, 24.35)"
"Lip oedema","Iohexol","Lip oedema","唇部水肿","Gastrointestinal disorders","胃肠系统疾病","15","15","6428","4018","19896018","6443","4033","19906479","11.56","6.96","19.2","11.53","143.75","3.52","3","1.3053","8.59","4.39","1","1","1","1","1","1","11.56 (6.96, 19.20)"
"VENTRICULAR FIBRILLATION","Iohexol","VENTRICULAR FIBRILLATION","室颤","Cardiac disorders","心脏器官疾病","36","36","6407","10568","19889468","6443","10604","19906479","10.57","7.62","14.68","10.52","309.31","3.39","3.06","3.4321","9.28","5.16","1","1","1","1","1","1","10.57 (7.62, 14.68)"
"Bronchospasm","Iohexol","Bronchospasm","支气管痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","46","46","6397","13676","19886360","6443","13722","19906479","10.46","7.82","13.98","10.39","389.27","3.37","3.08","4.4413","9.41","5.3","1","1","1","1","1","1","10.46 (7.82, 13.98)"
"Hypopnoea","Iohexol","Hypopnoea","呼吸不足","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","11","11","6432","3256","19896780","6443","3267","19906479","10.45","5.78","18.9","10.43","93.53","3.38","2.77","1.0574","7.38","3.6","1","1","1","1","1","1","10.45 (5.78, 18.90)"
"Injection site extravasation","Iohexol","Injection site extravasation","注射部位外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","40","40","6403","12117","19887919","6443","12157","19906479","10.25","7.51","14","10.2","330.87","3.35","3.03","3.9348","9.13","5.11","1","1","1","1","1","1","10.25 (7.51, 14.00)"
"Unresponsive to stimuli","Iohexol","Unresponsive to stimuli","刺激反应消失","Nervous system disorders","各类神经系统疾病","75","75","6368","24303","19875733","6443","24378","19906479","9.63","7.67","12.1","9.53","571.68","3.25","3.02","7.8903","9","5.17","1","1","1","1","1","1","9.63 (7.67, 12.10)"
"Type IV hypersensitivity reaction","Iohexol","Type IV hypersensitivity reaction","IV型超敏反应","Immune system disorders","免疫系统疾病","8","8","6435","2578","19897458","6443","2586","19906479","9.6","4.79","19.22","9.58","61.33","3.26","2.55","0.837","6.36","2.91","1","1","1","1","1","1","9.60 (4.79, 19.22)"
"Laryngospasm","Iohexol","Laryngospasm","喉痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","8","8","6435","2600","19897436","6443","2608","19906479","9.51","4.75","19.05","9.5","60.69","3.24","2.54","0.8441","6.32","2.9","1","1","1","1","1","1","9.51 (4.75, 19.05)"
"Ear swelling","Iohexol","Ear swelling","耳肿","Ear and labyrinth disorders","耳及迷路类疾病","6","6","6437","1978","19898058","6443","1984","19906479","9.38","4.21","20.9","9.37","44.72","3.22","2.41","0.6421","5.69","2.43","1","1","1","1","1","1","9.38 (4.21, 20.90)"
"Shock","Iohexol","Shock","休克","Vascular disorders","血管与淋巴管类疾病","64","64","6379","21452","19878584","6443","21516","19906479","9.3","7.27","11.9","9.21","467.79","3.2","2.95","6.9639","8.64","4.94","1","1","1","1","1","1","9.30 (7.27, 11.90)"
"Kounis syndrome","Iohexol","Kounis syndrome","过敏性冠状动脉痉挛综合征","Cardiac disorders","心脏器官疾病","6","6","6437","2052","19897984","6443","2058","19906479","9.04","4.05","20.15","9.03","42.73","3.17","2.35","0.6661","5.57","2.38","1","1","1","1","1","1","9.04 (4.05, 20.15)"
"Oropharyngeal discomfort","Iohexol","Oropharyngeal discomfort","口咽不适感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","24","24","6419","8270","19891766","6443","8294","19906479","8.99","6.02","13.44","8.96","169.38","3.16","2.75","2.6845","7.69","4.14","1","1","1","1","1","1","8.99 (6.02, 13.44)"
"Erythema","Iohexol","Erythema","红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","525","525","5918","194807","19705229","6443","195332","19906479","8.97","8.21","9.81","8.32","3407.4","3.05","2.96","63.2218","8.25","4.88","1","1","1","1","1","1","8.97 (8.21, 9.81)"
"Eye pruritus","Iohexol","Eye pruritus","眼睛瘙痒","Eye disorders","眼器官疾病","86","86","6357","30213","19869823","6443","30299","19906479","8.9","7.19","11.01","8.79","593.08","3.13","2.92","9.8067","8.39","4.84","1","1","1","1","1","1","8.90 (7.19, 11.01)"
"Chills","Iohexol","Chills","寒战","General disorders and administration site conditions","全身性疾病及给药部位各种反应","304","304","6139","111905","19788131","6443","112209","19906479","8.76","7.8","9.83","8.39","1984.78","3.07","2.95","36.318","8.27","4.87","1","1","1","1","1","1","8.76 (7.80, 9.83)"
"Renal tubular necrosis","Iohexol","Renal tubular necrosis","肾小管坏死","Renal and urinary disorders","肾脏及泌尿系统疾病","26","26","6417","9341","19890695","6443","9367","19906479","8.63","5.87","12.69","8.6","174.14","3.1","2.71","3.0318","7.5","4.07","1","1","1","1","1","1","8.63 (5.87, 12.69)"
"Blood pressure decreased","Iohexol","Blood pressure decreased","血压降低","Investigations","各类检查","166","166","6277","63113","19836923","6443","63279","19906479","8.31","7.12","9.7","8.12","1037.55","3.02","2.86","20.4811","7.94","4.64","1","1","1","1","1","1","8.31 (7.12, 9.70)"
"Pruritus","Iohexol","Pruritus","瘙痒","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","826","826","5617","349036","19551000","6443","349862","19906479","8.24","7.66","8.86","7.31","4568.15","2.87","2.79","113.2375","7.27","4.31","1","1","1","1","1","1","8.24 (7.66, 8.86)"
"Vomiting projectile","Iohexol","Vomiting projectile","喷射样呕吐","Gastrointestinal disorders","胃肠系统疾病","7","7","6436","2639","19897397","6443","2646","19906479","8.2","3.9","17.23","8.19","44.09","3.03","2.27","0.8564","5.53","2.46","1","1","1","1","1","1","8.20 (3.90, 17.23)"
"Face oedema","Iohexol","Face oedema","面部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","42","42","6401","16225","19883811","6443","16267","19906479","8.04","5.93","10.9","8","256.6","3","2.69","5.265","7.37","4.13","1","1","1","1","1","1","8.04 (5.93, 10.90)"
"EYE SWELLING","Iohexol","EYE SWELLING","眼肿","Eye disorders","眼器官疾病","90","90","6353","35149","19864887","6443","35239","19906479","8.01","6.5","9.86","7.91","542.72","2.98","2.77","11.4056","7.6","4.39","1","1","1","1","1","1","8.01 (6.50, 9.86)"
"Pallor","Iohexol","Pallor","苍白","Vascular disorders","血管与淋巴管类疾病","67","67","6376","26216","19873820","6443","26283","19906479","7.97","6.26","10.14","7.89","402.86","2.98","2.73","8.5068","7.49","4.29","1","1","1","1","1","1","7.97 (6.26, 10.14)"
"Chest discomfort","Iohexol","Chest discomfort","胸部不适","General disorders and administration site conditions","全身性疾病及给药部位各种反应","235","235","6208","96125","19803911","6443","96360","19906479","7.8","6.85","8.89","7.55","1338.8","2.91","2.78","31.1882","7.43","4.37","1","1","1","1","1","1","7.80 (6.85, 8.89)"
"Cardio-respiratory arrest","Iohexol","Cardio-respiratory arrest","心脏呼吸骤停","Cardiac disorders","心脏器官疾病","97","97","6346","40441","19859595","6443","40538","19906479","7.51","6.14","9.18","7.41","537.5","2.89","2.68","13.1207","7.16","4.15","1","1","1","1","1","1","7.51 (6.14, 9.18)"
"Throat clearing","Iohexol","Throat clearing","清嗓","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","8","8","6435","3404","19896632","6443","3412","19906479","7.27","3.63","14.55","7.26","43.08","2.86","2.15","1.1043","5.3","2.43","1","1","1","1","1","1","7.27 (3.63, 14.55)"
"Cold sweat","Iohexol","Cold sweat","冷汗","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","39","39","6404","16910","19883126","6443","16949","19906479","7.16","5.22","9.81","7.12","204.99","2.83","2.51","5.4858","6.6","3.68","1","1","1","1","1","1","7.16 (5.22, 9.81)"
"Lip swelling","Iohexol","Lip swelling","唇部肿胀","Gastrointestinal disorders","胃肠系统疾病","72","72","6371","31510","19868526","6443","31582","19906479","7.13","5.65","8.99","7.06","374.08","2.82","2.58","10.2219","6.76","3.88","1","1","1","1","1","1","7.13 (5.65, 8.99)"
"Dry throat","Iohexol","Dry throat","咽干","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","22","22","6421","9555","19890481","6443","9577","19906479","7.13","4.69","10.85","7.11","115.34","2.83","2.4","3.0997","6.25","3.34","1","1","1","1","1","1","7.13 (4.69, 10.85)"
"Blindness transient","Iohexol","Blindness transient","一过性失明","Eye disorders","眼器官疾病","16","16","6427","7003","19893033","6443","7019","19906479","7.07","4.33","11.56","7.06","83.01","2.82","2.31","2.2718","5.95","3.07","1","1","1","1","1","1","7.07 (4.33, 11.56)"
"ERYTHEMA MULTIFORME","Iohexol","ERYTHEMA MULTIFORME","多形性红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","20","20","6423","8868","19891168","6443","8888","19906479","6.98","4.5","10.84","6.97","102","2.8","2.35","2.8767","6.07","3.21","1","1","1","1","1","1","6.98 (4.50, 10.84)"
"Hyperthermia","Iohexol","Hyperthermia","体温过高","General disorders and administration site conditions","全身性疾病及给药部位各种反应","16","16","6427","7178","19892858","6443","7194","19906479","6.9","4.22","11.27","6.88","80.33","2.78","2.28","2.3284","5.83","3.01","1","1","1","1","1","1","6.90 (4.22, 11.27)"
"Acute pulmonary oedema","Iohexol","Acute pulmonary oedema","急性肺水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","12","12","6431","5407","19894629","6443","5419","19906479","6.87","3.89","12.1","6.85","59.89","2.77","2.2","1.7539","5.55","2.74","1","1","1","1","1","1","6.87 (3.89, 12.10)"
"Mouth swelling","Iohexol","Mouth swelling","口肿胀","Gastrointestinal disorders","胃肠系统疾病","12","12","6431","5414","19894622","6443","5426","19906479","6.86","3.89","12.09","6.85","59.79","2.77","2.19","1.7562","5.54","2.74","1","1","1","1","1","1","6.86 (3.89, 12.09)"
"Swollen tongue","Iohexol","Swollen tongue","肿舌","Gastrointestinal disorders","胃肠系统疾病","65","65","6378","29707","19870329","6443","29772","19906479","6.82","5.34","8.71","6.76","318.67","2.75","2.5","9.6361","6.46","3.7","1","1","1","1","1","1","6.82 (5.34, 8.71)"
"Ear pruritus","Iohexol","Ear pruritus","耳瘙痒","Ear and labyrinth disorders","耳及迷路类疾病","7","7","6436","3184","19896852","6443","3191","19906479","6.8","3.24","14.27","6.79","34.49","2.76","2","1.0328","4.89","2.18","1","1","1","1","1","1","6.80 (3.24, 14.27)"
"Tongue oedema","Iohexol","Tongue oedema","舌水肿","Gastrointestinal disorders","胃肠系统疾病","8","8","6435","3660","19896376","6443","3668","19906479","6.76","3.38","13.53","6.75","39.12","2.75","2.04","1.1872","5.04","2.31","1","1","1","1","1","1","6.76 (3.38, 13.53)"
"Electrocardiogram ST segment elevation","Iohexol","Electrocardiogram ST segment elevation","心电图ST段抬高","Investigations","各类检查","7","7","6436","3209","19896827","6443","3216","19906479","6.74","3.21","14.16","6.74","34.13","2.75","1.99","1.0409","4.87","2.16","1","1","1","1","1","1","6.74 (3.21, 14.16)"
"OXYGEN SATURATION DECREASED","Iohexol","OXYGEN SATURATION DECREASED","血氧饱和度降低","Investigations","各类检查","111","111","6332","52254","19847782","6443","52365","19906479","6.66","5.52","8.03","6.56","523.46","2.71","2.52","16.9486","6.39","3.71","1","1","1","1","1","1","6.66 (5.52, 8.03)"
"Eye movement disorder","Iohexol","Eye movement disorder","眼动障碍","Eye disorders","眼器官疾病","14","14","6429","6533","19893503","6443","6547","19906479","6.63","3.92","11.21","6.62","66.66","2.72","2.19","2.119","5.54","2.8","1","1","1","1","1","1","6.63 (3.92, 11.21)"
"RESPIRATORY DISTRESS","Iohexol","RESPIRATORY DISTRESS","呼吸窘迫","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","56","56","6387","26354","19873682","6443","26410","19906479","6.61","5.08","8.6","6.56","263.85","2.71","2.44","8.548","6.24","3.55","1","1","1","1","1","1","6.61 (5.08, 8.60)"
"Apnoea","Iohexol","Apnoea","呼吸暂停","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","16","16","6427","7530","19892506","6443","7546","19906479","6.58","4.02","10.75","6.56","75.31","2.71","2.21","2.4424","5.61","2.89","1","1","1","1","1","1","6.58 (4.02, 10.75)"
"Temperature intolerance","Iohexol","Temperature intolerance","温度变化不耐受","General disorders and administration site conditions","全身性疾病及给药部位各种反应","20","20","6423","9638","19890398","6443","9658","19906479","6.43","4.14","9.97","6.41","91.16","2.68","2.23","3.1259","5.65","2.99","1","1","1","1","1","1","6.43 (4.14, 9.97)"
"Lacrimation increased","Iohexol","Lacrimation increased","流泪增加","Eye disorders","眼器官疾病","56","56","6387","27920","19872116","6443","27976","19906479","6.24","4.8","8.12","6.19","243.81","2.63","2.36","9.0548","5.91","3.36","1","1","1","1","1","1","6.24 (4.80, 8.12)"
"Nasal congestion","Iohexol","Nasal congestion","鼻充血","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","109","109","6334","54857","19845179","6443","54966","19906479","6.23","5.15","7.52","6.14","469.07","2.62","2.42","17.7905","5.99","3.48","1","1","1","1","1","1","6.23 (5.15, 7.52)"
"PRURITUS GENERALISED","Iohexol","PRURITUS GENERALISED",,,,"43","43","6400","21545","19878491","6443","21588","19906479","6.2","4.59","8.37","6.16","185.87","2.62","2.32","6.9872","5.81","3.26","1","1","1","1","1","1","6.20 (4.59, 8.37)"
"Respiratory rate increased","Iohexol","Respiratory rate increased","呼吸频率升高","Investigations","各类检查","17","17","6426","8504","19891532","6443","8521","19906479","6.19","3.84","9.97","6.17","73.6","2.62","2.14","2.7579","5.37","2.79","1","1","1","1","1","1","6.19 (3.84, 9.97)"
"Anal incontinence","Iohexol","Anal incontinence","肛门失禁","Gastrointestinal disorders","胃肠系统疾病","16","16","6427","8216","19891820","6443","8232","19906479","6.03","3.69","9.85","6.01","66.8","2.59","2.09","2.6644","5.21","2.69","1","1","1","1","1","1","6.03 (3.69, 9.85)"
"ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS","Iohexol","ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS","急性泛发性发疹性脓疱病","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","14","14","6429","7273","19892763","6443","7287","19906479","5.96","3.52","10.07","5.95","57.5","2.57","2.03","2.3585","5.07","2.57","1","1","1","1","1","1","5.96 (3.52, 10.07)"
"Choking sensation","Iohexol","Choking sensation","呛噎感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","10","10","6433","5230","19894806","6443","5240","19906479","5.91","3.18","11","5.91","40.68","2.56","1.93","1.696","4.78","2.29","1","1","1","1","1","1","5.91 (3.18, 11.00)"
"PROCEDURAL COMPLICATION","Iohexol","PROCEDURAL COMPLICATION","操作并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","14","14","6429","7438","19892598","6443","7452","19906479","5.82","3.45","9.84","5.81","55.71","2.54","2","2.4119","4.98","2.52","1","1","1","1","1","1","5.82 (3.45, 9.84)"
"DYSPHONIA","Iohexol","DYSPHONIA","发声困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","100","100","6343","55311","19844725","6443","55411","19906479","5.66","4.64","6.89","5.58","376.69","2.48","2.28","17.9345","5.45","3.16","1","1","1","1","1","1","5.66 (4.64, 6.89)"
"Hypoaesthesia oral","Iohexol","Hypoaesthesia oral","口腔感觉减退","Gastrointestinal disorders","胃肠系统疾病","26","26","6417","14355","19885681","6443","14381","19906479","5.61","3.82","8.25","5.59","97.99","2.48","2.09","4.6546","5.14","2.79","1","1","1","1","1","1","5.61 (3.82, 8.25)"
"Periorbital swelling","Iohexol","Periorbital swelling","眶周肿","Eye disorders","眼器官疾病","9","9","6434","4957","19895079","6443","4966","19906479","5.61","2.92","10.8","5.61","34.02","2.49","1.82","1.6073","4.51","2.12","1","1","1","1","1","1","5.61 (2.92, 10.80)"
"Erythema of eyelid","Iohexol","Erythema of eyelid","眼睑红斑","Eye disorders","眼器官疾病","9","9","6434","5012","19895024","6443","5021","19906479","5.55","2.89","10.68","5.55","33.49","2.47","1.8","1.6251","4.47","2.1","1","1","1","1","1","1","5.55 (2.89, 10.68)"
"SKIN TIGHTNESS","Iohexol","SKIN TIGHTNESS","皮肤紧缩感","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","8","8","6435","4474","19895562","6443","4482","19906479","5.53","2.76","11.07","5.52","29.58","2.46","1.76","1.4507","4.36","2","1","1","1","1","1","1","5.53 (2.76, 11.07)"
"Skin reaction","Iohexol","Skin reaction","皮肤反应","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","23","23","6420","13232","19886804","6443","13255","19906479","5.38","3.57","8.11","5.37","81.68","2.42","2","4.2902","4.91","2.63","1","1","1","1","1","1","5.38 (3.57, 8.11)"
"Meningitis","Iohexol","Meningitis","脑膜炎","Infections and infestations","感染及侵染类疾病","11","11","6432","6319","19893717","6443","6330","19906479","5.38","2.98","9.73","5.38","39.13","2.42","1.82","2.0488","4.51","2.2","1","1","1","1","1","1","5.38 (2.98, 9.73)"
"Drug eruption","Iohexol","Drug eruption","药疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","28","28","6415","16421","19883615","6443","16449","19906479","5.29","3.65","7.66","5.27","96.69","2.39","2.02","5.3239","4.89","2.67","1","1","1","1","1","1","5.29 (3.65, 7.66)"
"SWELLING FACE","Iohexol","SWELLING FACE","面部肿胀","General disorders and administration site conditions","全身性疾病及给药部位各种反应","104","104","6339","61743","19838293","6443","61847","19906479","5.27","4.34","6.4","5.2","353.55","2.38","2.18","20.0176","5.09","2.95","1","1","1","1","1","1","5.27 (4.34, 6.40)"
